aquired_current,ambiant_temperature,mixing_cycle_flowrate,chaud_flowrate,froid_flowrate,out_aerotherme,out_heat_exchanger,temp_out_froid,temp_in_froid,temp_out_chaud,temp_in_chaud,aerotherme_acquis,process_value
11.346502,21.370868,9.019801,14.434507,16.374225,40.834622,17.231842,16.028184,25.207601,40.008095,30.163032,25,30.163032
11.356272,21.372928,9.051989,14.458252,16.366448,40.847607,17.225806,16.040565,25.249196,40.022783,30.162716,25,30.162716
11.377642,21.362165,9.075333,14.407488,16.363173,40.861161,17.22065,16.051878,25.283071,40.037376,30.162906,25,30.162906
11.372147,21.350165,9.062863,14.411172,16.363582,40.872055,17.217003,16.060928,25.306264,40.052445,30.162148,25,30.162148
11.381306,21.349754,9.052134,14.41895,16.379547,40.888523,17.211972,16.071613,25.303428,40.07128,30.162464,25,30.162464
11.38558,21.368853,9.059818,14.426319,16.413524,40.900938,17.208577,16.078652,25.318932,40.087361,30.16259,25,30.16259
11.379779,21.377204,9.095051,14.413219,16.414752,40.914017,17.205653,16.083994,25.355423,40.104582,30.16158,25,30.16158
11.383443,21.363522,9.107231,14.417722,16.412705,40.927192,17.203263,16.088582,25.385928,40.121804,30.160823,25,30.160823
11.406645,21.351123,9.082727,14.468486,16.415162,40.940556,17.200842,16.09317,25.393302,40.13893,30.16057,25,30.16057
11.390464,21.34766,9.046044,14.490184,16.418436,40.954871,17.197195,16.098324,25.370234,40.156911,30.159939,25,30.159939
11.404508,21.333886,9.064168,14.436554,16.372179,40.972607,17.192479,16.10618,25.327377,40.179546,30.158834,25,30.158834
11.407561,21.328401,9.062283,14.420997,16.346798,40.988442,17.187826,16.115231,25.281748,40.194741,30.158961,25,30.158961
11.41733,21.317378,9.040245,14.420997,16.377091,41.002947,17.18355,16.124375,25.214849,40.209747,30.160223,25,30.160223
11.431069,21.313597,9.045899,14.443923,16.383641,41.016819,17.178709,16.13462,25.165943,40.224499,30.161485,25,30.161485
11.428321,21.301402,9.046334,14.416903,16.327558,41.029835,17.173364,16.14609,25.163643,40.238935,30.161896,25,30.161896
11.431679,21.313184,9.013856,14.41936,16.362354,41.040857,17.168585,16.158032,25.225909,40.252991,30.160886,25,30.160886
11.433511,21.324441,8.971228,14.413628,16.388144,41.056534,17.164026,16.171859,25.345024,40.272619,30.161044,25,30.161044
11.428016,21.335194,8.968619,14.41281,16.363582,41.067429,17.162517,16.180281,25.352461,40.286676,30.162053,25,30.162053
11.441449,21.350222,9.004867,14.43246,16.365629,41.079464,17.159499,16.185969,25.334846,40.301587,30.162779,25,30.162779
11.443586,21.333924,9.03952,14.429185,16.398787,41.092006,17.156041,16.187227,25.312409,40.31691,30.163347,25,30.163347
11.444196,21.316682,9.043144,14.432051,16.374635,41.104548,17.152582,16.183927,25.302167,40.331821,30.163884,25,30.163884
11.458545,21.310267,9.067938,14.438601,16.374635,41.116709,17.148935,16.177516,25.317923,40.345117,30.164515,25,30.164515
11.457629,21.271858,9.057064,14.431232,16.357442,41.13017,17.146892,16.168402,25.334152,40.359681,30.163568,25,30.163568
11.467399,21.244825,9.009216,14.449654,16.373816,41.143092,17.14337,16.164129,25.325581,40.373231,30.163568,25,30.163568
11.472894,21.232473,8.985873,14.438192,16.392237,41.154684,17.140226,16.161175,25.324951,40.387256,30.16442,25,30.16442
11.470757,21.214329,8.986453,14.449654,16.374225,41.165516,17.136328,16.160609,25.303333,40.401059,30.165052,25,30.165052
11.483579,21.199896,9.03836,14.437373,16.325921,41.176158,17.131423,16.161897,25.275162,40.414071,30.165336,25,30.165336
11.497623,21.201924,9.021686,14.442695,16.318552,41.18718,17.126142,16.162903,25.298228,40.425849,30.166093,25,30.166093
11.495486,21.198681,9.026905,14.426319,16.348026,41.201116,17.12064,16.163689,25.34723,40.442945,30.165778,25,30.165778
11.512582,21.200663,9.060833,14.446379,16.377091,41.210998,17.11649,16.164946,25.328575,40.457762,30.166409,25,30.166409
11.513498,21.194402,9.067938,14.424272,16.373816,41.220404,17.11168,16.164317,25.303396,40.472294,30.165714,25,30.165714
11.490906,21.187054,9.058514,14.437782,16.384869,41.23111,17.107027,16.162117,25.288586,40.487048,30.165841,25,30.165841
11.502507,21.186674,9.014001,14.421816,16.399606,41.242892,17.102656,16.159383,25.291674,40.50177,30.166851,25,30.166851
11.507697,21.195436,9.028355,14.448836,16.388962,41.253534,17.098003,16.157875,25.310833,40.515447,30.166724,25,30.166724
11.527847,21.1808,9.065908,14.437782,16.363582,41.270479,17.092502,16.154261,25.33431,40.531752,30.167987,25,30.167987
11.52632,21.180689,9.063443,14.430823,16.41639,41.283275,17.0881,16.152752,25.394436,40.544797,30.167608,25,30.167608
11.517467,21.168506,9.093457,14.448426,16.406974,41.295406,17.083604,16.150584,25.469029,40.557841,30.168839,25,30.168839
11.529984,21.153671,9.062718,14.420179,16.418027,41.306112,17.079077,16.14807,25.520837,40.571645,30.169281,25,30.169281
11.542501,21.146244,9.02705,14.384562,16.400425,41.315836,17.074299,16.14499,25.544158,40.585481,30.168934,25,30.168934
11.537006,21.139954,9.020816,14.377193,16.355804,41.326225,17.068765,16.140591,25.564832,40.597133,30.170196,25,30.170196
11.540669,21.137535,9.013566,14.409944,16.372179,41.340478,17.060906,16.138234,25.491246,40.615338,30.170827,25,30.170827
11.537006,21.149284,8.999792,14.422635,16.35867,41.350994,17.055121,16.135971,25.43679,40.627243,30.171332,25,30.171332
11.556239,21.157717,9.02415,14.418541,16.370541,41.36113,17.050374,16.1355,25.408333,40.638008,30.17089,25,30.17089
11.543417,21.157639,9.047784,14.406669,16.351301,41.371202,17.046475,16.139271,25.410476,40.647886,30.171332,25,30.171332
11.567535,21.152463,9.085337,14.417313,16.378728,41.381179,17.042514,16.147504,25.436317,40.65748,30.172721,25,30.172721
11.574862,21.136202,9.094616,14.453748,16.399606,41.390682,17.036855,16.158189,25.467453,40.667738,30.173352,25,30.173352
11.57822,21.138038,9.078232,14.444742,16.402062,41.400501,17.032768,16.174845,25.460677,40.680245,30.173825,25,30.173825
11.585853,21.13026,9.066198,14.470124,16.386097,41.40937,17.028493,16.188044,25.474921,40.68911,30.17433,25,30.17433
11.576999,21.12292,9.063588,14.447198,16.405337,41.419379,17.026198,16.197094,25.485384,40.699211,30.175972,25,30.175972
11.592874,21.126093,9.052424,14.45252,16.371769,41.428565,17.023934,16.203757,25.514125,40.709279,30.177171,25,30.177171
11.581884,21.126598,9.033865,14.436145,16.372179,41.43642,17.021199,16.208439,25.544788,40.719158,30.177518,25,30.177518
11.605392,21.152666,9.03082,14.428776,16.379957,41.443895,17.018935,16.210199,25.522602,40.729797,30.17777,25,30.17777
11.602033,21.161076,9.017336,14.430823,16.388144,41.454823,17.015791,16.212713,25.488882,40.744045,30.177928,25,30.177928
11.623709,21.185234,9.013856,14.446379,16.408202,41.462679,17.013528,16.214222,25.517371,40.753164,30.178433,25,30.178433
11.621877,21.212645,9.020816,14.463574,16.411068,41.471484,17.011453,16.217333,25.570914,40.763328,30.179506,25,30.179506
11.627067,21.239222,9.015596,14.46603,16.40984,41.480607,17.009504,16.221481,25.627074,40.77422,30.180895,25,30.180895
11.625236,21.261527,9.018206,14.458252,16.39674,41.489793,17.007303,16.226321,25.676081,40.785334,30.182,25,30.182
11.637753,21.275953,9.0372,14.441467,16.365629,41.499169,17.004159,16.231726,25.720834,40.795973,30.181873,25,30.181873
11.664924,21.290109,9.060398,14.475036,16.352939,41.511205,17.000858,16.236283,25.797577,40.809905,30.183451,25,30.183451
11.671946,21.280268,9.063733,14.451292,16.35867,41.520835,16.997463,16.24194,25.845231,40.821304,30.184083,25,30.184083
11.667366,21.276375,9.075478,14.441057,16.41598,41.531605,16.994634,16.246936,25.840031,40.833558,30.183294,25,30.183294
11.65546,21.263197,9.04126,14.463983,16.392647,41.542565,16.992181,16.25297,25.80637,40.846793,30.18342,25,30.18342
11.666145,21.256122,9.012261,14.433279,16.429899,41.553334,16.989761,16.26067,25.757834,40.860599,30.184461,25,30.184461
11.667977,21.259088,9.018206,14.411991,16.394284,41.564104,16.986868,16.269595,25.697196,40.874024,30.184083,25,30.184083
11.678662,21.246049,9.019656,14.409125,16.367266,41.580576,16.983725,16.286408,25.602492,40.88859,30.184714,25,30.184714
11.672556,21.249523,8.985003,14.441876,16.385278,41.592233,16.979575,16.304133,25.624931,40.901509,30.184714,25,30.184714
11.67164,21.246733,8.984423,14.420179,16.388144,41.60408,16.976462,16.323744,25.642926,40.915853,30.185661,25,30.185661
11.708886,21.251353,9.03459,14.425091,16.395103,41.616244,16.97445,16.344926,25.67148,40.929469,30.186355,25,30.186355
11.700949,21.239656,9.056484,14.420997,16.408612,41.628629,16.97291,16.366422,25.688971,40.941755,30.186386,25,30.186386
11.689958,21.222928,9.062718,14.430823,16.39674,41.64092,16.970521,16.386033,25.637159,40.953661,30.186134,25,30.186134
11.716213,21.227634,9.0372,14.421816,16.374225,41.655808,16.969263,16.40269,25.651814,40.969335,30.186134,25,30.186134
11.711634,21.221221,9.015451,14.443923,16.361535,41.668226,16.96876,16.41061,25.71119,40.981115,30.187523,25,30.187523
11.742469,21.214455,9.03459,14.416494,16.392647,41.679218,16.968729,16.413156,25.742485,40.992799,30.187302,25,30.187302
11.740026,21.201233,9.03517,14.450883,16.410249,41.689481,16.968917,16.412841,25.775263,41.004515,30.186923,25,30.186923
